BorrowerFirstName,BorrowerLastName,BorrowerBirthDate,BorrowerSSN,ZipCode,BorrowerCreditScore,BorrowerYearlyIncome,LoanAmount,LoanStartDate,LoanDuration,loanToValue,ReportisApproved,ReportisValidData,ReportisInsuranceRequired,ReportgetMonthlyRepayment,ReportgetInsuranceRate,ReportgetMessages
Donald,Reid,2008-01-08T08:00:00Z,471-78-1234,12345,338,372885,84082,2018-06-06T22:00:00Z,1,1.1426348277943714,False,True,False,17048.33040179011,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 0.55; We are sorry. Your loan has not been approved]
David,Alvarez,1976-09-01T07:00:00Z,471-78-1234,12345,491,77427,1067564,2017-05-15T22:00:00Z,1,1.0304895703095842,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Michael,Chandler,2009-10-03T07:00:00Z,471-78-1234,12345,683,186464,1331387,2021-10-25T22:00:00Z,1,1.4849658048528815,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Justin,Whitehead,1977-06-27T07:00:00Z,471-78-1234,12345,840,4780,1388512,2020-08-11T22:00:00Z,3,1.4212881658581764,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Jacob,Leonard,1990-03-13T08:00:00Z,471-78-1234,12345,735,398408,938482,2021-05-10T22:00:00Z,2,1.8231488053295828,False,True,False,49215.01844902912,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 1.48; We are sorry. Your loan has not been approved]
Alyssa,Juarez,1996-02-28T08:00:00Z,471-78-1234,12345,478,225520,968862,2019-10-10T22:00:00Z,2,1.3250932465979353,False,True,False,44480.11841477413,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 2.37; We are sorry. Your loan has not been approved]
Meredith,Stephenson,1928-02-13T08:00:00Z,471-78-1234,12345,540,88075,564323,2021-02-16T23:00:00Z,3,1.9309011932864504,False,True,False,20176.64180083953,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 2.75; We are sorry. Your loan has not been approved]
Kimberly,Brown,1929-03-31T08:00:00Z,471-78-1234,12345,586,135781,646897,2019-08-14T22:00:00Z,2,1.0448115569033385,False,True,False,42024.19479044801,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 3.71; We are sorry. Your loan has not been approved]
Kimberly,Jones,1935-08-31T08:00:00Z,471-78-1234,12345,591,344986,458340,2021-11-01T23:00:00Z,1,1.1809176935467818,False,True,False,39342.43184089033,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 1.37; We are sorry. Your loan has not been approved]
Teresa,Guzman,1967-09-04T07:00:00Z,471-78-1234,12345,541,223598,1448544,2021-09-02T22:00:00Z,3,1.2482854252486104,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
William,Coleman,1968-03-12T08:00:00Z,471-78-1234,12345,708,259161,352618,2017-09-08T22:00:00Z,1,1.185322700584465,False,True,False,177522.04818627343,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 8.22; We are sorry. Your loan has not been approved]
Jessica,Cook,1934-05-12T08:00:00Z,471-78-1234,12345,414,30737,1123520,2021-10-11T22:00:00Z,3,1.9366566313110432,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Matthew,Simmons,2002-01-09T08:00:00Z,471-78-1234,12345,409,146240,37022,2019-03-10T23:00:00Z,3,1.3292501881820653,True,True,True,1366.260776729312,0.02,[ The loan amount is under the maximum authorized; Low risk loan; Congratulations! Your loan has been approved]
Robert,Christian,1988-02-19T08:00:00Z,471-78-1234,12345,355,245405,1201335,2021-09-25T22:00:00Z,3,1.311716975238027,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Andrea,Alvarez,1901-08-06T08:00:00Z,471-78-1234,12345,397,24580,384851,2020-08-12T22:00:00Z,3,1.2717697476790903,False,True,False,13759.851669513548,0.0,[ The loan amount is under the maximum authorized; Very risky loan; Too big Debt/Income ratio: 6.72; We are sorry. Your loan has not been approved]
Edgar,Hall,1998-03-26T08:00:00Z,471-78-1234,12345,402,193037,22248,2017-05-04T22:00:00Z,2,1.741464354433282,True,True,True,1538.1642321762097,0.02,[ The loan amount is under the maximum authorized; Low risk loan; Congratulations! Your loan has been approved]
Sara,Johnson,1987-10-04T07:00:00Z,471-78-1234,12345,518,261531,1471611,2020-04-21T22:00:00Z,2,1.738377465171021,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Alyssa,Weiss,1900-01-19T08:00:00Z,471-78-1234,12345,568,92341,73240,2020-02-28T23:00:00Z,1,1.2730832761523423,False,True,False,8325.405547881335,0.0,[ The loan amount is under the maximum authorized; Risky loan; Too big Debt/Income ratio: 1.08; We are sorry. Your loan has not been approved]
Megan,Thomas,1917-05-22T08:00:00Z,471-78-1234,12345,713,206043,804466,2018-10-16T22:00:00Z,3,1.179270575262392,False,True,False,29688.03257555839,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 1.73; We are sorry. Your loan has not been approved]
Tamara,Ellis,1937-04-10T08:00:00Z,471-78-1234,12345,595,343783,1334094,2019-11-24T23:00:00Z,2,1.3925683504924806,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Ronnie,Graham,1923-11-27T08:00:00Z,471-78-1234,12345,586,324832,1054959,2017-10-08T22:00:00Z,2,1.1176246389874152,False,False,False,0.0,0.0,[The loan cannot exceed 1000000]
Glenn,Davenport,1920-04-19T08:00:00Z,471-78-1234,12345,622,217719,713651,2020-08-05T22:00:00Z,2,1.9802096995176908,False,True,False,52744.69955672508,0.0,[ The loan amount is under the maximum authorized; Average risk loan; Too big Debt/Income ratio: 2.91; We are sorry. Your loan has not been approved]
